# Produced by delphy version 0.9995 (build 2026, commit cf8d1b0)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/zika.fasta <DASH-DASH>v0-steps 2000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha/zika_delphy_alpha.log <DASH-DASH>v0-log-every 400000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha/zika_delphy_alpha.trees <DASH-DASH>v0-tree-every 2000000 <DASH-DASH>v0-out-delphy-file delphy_outputs_alpha/zika_delphy_alpha.dphy <DASH-DASH>v0-delphy-snapshot-every 2000000 <DASH-DASH>v0-site-rate-heterogeneity <DASH-DASH>v0-out-beast-xml beast2_run_alpha/zika_alpha.xml
Sample	numMuts	posterior_for_Delphy	likelihood_really_logG	prior	treeLikelihood_really_logG	TreeHeight	clockRate	gammaShape	kappa	CoalescentExponential	ePopSize	growthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
0	1526	-36717.2	-36681.3	-35.88	-36681.3	3.07747	0.001	10	1	-1460.93	2.73973	0	0.310169	0.208383	0.277228	0.204219	
400000	1243	-24537.1	-30121.1	5583.98	-30121.1	3.24834	0.00113096	0.218104	16.6767	-654.328	85.8186	1.25516	0.264967	0.23239	0.279173	0.22347	
800000	1203	-29608.9	-29872.1	263.192	-29872.1	2.87716	0.00110183	0.257505	15.5625	-655.022	137.213	1.51885	0.267489	0.236959	0.277388	0.218165	
1200000	1186	-24002.1	-29565.9	5563.83	-29565.9	3.00611	0.00118415	0.21691	18.1329	-650.618	171.446	1.78631	0.265827	0.227203	0.280207	0.226764	
1600000	1180	-33015.3	-29562.9	-3452.4	-29562.9	2.84002	0.00109267	0.301479	17.224	-643.108	189.135	1.9565	0.268532	0.22561	0.274747	0.231111	
2000000	1173	-33670	-29510.1	-4159.88	-29510.1	2.98738	0.00119565	0.321992	17.458	-637.438	107.008	1.54693	0.266132	0.221685	0.281313	0.23087	
2400000	1176	-32265.3	-29464.4	-2800.95	-29464.4	3.34785	0.00109738	0.296178	15.8476	-644.559	175.342	1.95139	0.265359	0.225829	0.276774	0.232037	
2800000	1172	-31458.1	-29494.6	-1963.47	-29494.6	2.82749	0.0011286	0.285348	16.2169	-652.042	211.145	1.87185	0.257455	0.233868	0.282827	0.22585	
3200000	1170	-30046	-29421	-624.988	-29421	2.68015	0.00112287	0.265327	18.2756	-648.358	190.635	1.88059	0.255743	0.236036	0.282248	0.225973	
3600000	1160	-33927.7	-29429.5	-4498.19	-29429.5	2.55787	0.00107951	0.315472	16.62	-645.492	163.93	1.76131	0.26906	0.228426	0.274959	0.227555	
4000000	1166	-33718	-29507.5	-4210.49	-29507.5	2.6817	0.00106529	0.317559	19.2863	-653.872	194.436	1.91864	0.26254	0.233258	0.283425	0.220777	
4400000	1168	-29864.8	-29489.9	-374.894	-29489.9	2.92596	0.00110311	0.272315	15.5739	-657.459	174.739	1.76703	0.261411	0.230899	0.285582	0.222109	
4800000	1165	-33158.4	-29572.5	-3585.89	-29572.5	3.03328	0.00102016	0.303713	17.8821	-666.238	168.823	1.57602	0.257702	0.232223	0.287357	0.222718	
5200000	1163	-30358.7	-29484.3	-874.47	-29484.3	2.90397	0.000868658	0.263384	18.3772	-679.866	169.01	1.42374	0.265152	0.224129	0.27953	0.231189	
5600000	1163	-32592.5	-29624.6	-2967.89	-29624.6	2.96631	0.000904272	0.287475	16.781	-682.174	159.878	1.47352	0.266412	0.229901	0.278408	0.225278	
6000000	1171	-30814.4	-29625	-1189.4	-29625	2.93685	0.000923505	0.271537	17.795	-680.017	115.425	1.25109	0.265806	0.229859	0.279338	0.224998	
6400000	1167	-31140.6	-29505	-1635.64	-29505	2.82826	0.0010391	0.277311	21.1489	-655.959	194.589	1.83214	0.264314	0.235432	0.272956	0.227299	
6800000	1170	-32202.3	-29544.4	-2657.81	-29544.4	3.184	0.00112545	0.28922	18.5289	-652.884	147.289	1.60367	0.255654	0.234381	0.280365	0.2296	
7200000	1164	-30283.5	-29474	-809.494	-29474	3.33413	0.000996282	0.264326	18.7796	-668.528	267.146	1.94545	0.256815	0.229258	0.291416	0.222511	
7600000	1158	-32731.1	-29521	-3210.06	-29521	3.12591	0.000996548	0.30026	18.5846	-658.701	177.034	1.75527	0.256477	0.23406	0.279289	0.230174	
8000000	1162	-33708.1	-29452.1	-4255.96	-29452.1	3.14722	0.00107832	0.312521	18.195	-652.41	204.387	1.80509	0.263385	0.231945	0.276103	0.228567	
8400000	1158	-34075	-29482.5	-4592.44	-29482.5	2.85948	0.00103045	0.316926	22.0765	-661.318	208.655	1.82223	0.258539	0.226511	0.281482	0.233468	
8800000	1161	-33877.6	-29570.7	-4306.84	-29570.7	3.05086	0.000996289	0.317031	17.8724	-668.561	218.726	1.70757	0.255937	0.237376	0.284121	0.222566	
9200000	1163	-33446.4	-29475.6	-3970.82	-29475.6	3.46447	0.00101866	0.308637	15.9129	-655.734	140.97	1.5368	0.267032	0.224059	0.279102	0.229807	
9600000	1157	-33406.9	-29464.1	-3942.78	-29464.1	3.18786	0.000983209	0.310053	17.6752	-657.967	175.565	1.78869	0.256591	0.235338	0.287205	0.220867	
10000000	1166	-30270.3	-29402	-868.271	-29402	3.08735	0.00102688	0.263425	17.9599	-653.534	215.458	1.93022	0.265181	0.228361	0.281708	0.224749	
10400000	1158	-32185.1	-29391.2	-2793.85	-29391.2	3.14981	0.00096318	0.291772	18.4844	-664.886	135.629	1.47333	0.261286	0.227121	0.284985	0.226609	
10800000	1163	-29563.7	-29409.2	-154.514	-29409.2	3.01171	0.0011088	0.264378	17.2587	-662.98	199.635	1.70319	0.261312	0.225182	0.288953	0.224553	
11200000	1163	-35481.3	-29530.6	-5950.61	-29530.6	3.07038	0.00103801	0.347428	15.289	-655.322	205.627	1.84162	0.266647	0.2278	0.27794	0.227613	
11600000	1158	-29751.1	-29357.3	-393.731	-29357.3	2.8959	0.00110665	0.270832	17.6442	-652.191	228.764	1.9517	0.26529	0.233779	0.280718	0.220213	
12000000	1161	-32628.7	-29405.8	-3222.82	-29405.8	2.98174	0.00110121	0.29981	17.7878	-655.829	130.711	1.52452	0.270312	0.233454	0.272231	0.224002	
12400000	1158	-29550.3	-29215.3	-334.988	-29215.3	2.91785	0.00115755	0.262844	17.7138	-641.54	203.664	1.92297	0.262068	0.226786	0.282175	0.228971	
12800000	1161	-33750.2	-29345.6	-4404.59	-29345.6	2.85101	0.00104759	0.316152	19.3545	-648.255	168.299	1.73371	0.262459	0.234656	0.278842	0.224043	
13200000	1159	-33056.7	-29395.7	-3661	-29395.7	2.89912	0.00107891	0.312994	19.2354	-644.793	146.65	1.65338	0.26064	0.236641	0.277648	0.225071	
13600000	1158	-28750	-29294.5	544.491	-29294.5	2.82797	0.00113372	0.254935	19.1237	-642.522	128.942	1.62955	0.260036	0.236412	0.273446	0.230105	
14000000	1166	-34186.2	-29459.9	-4726.33	-29459.9	3.0348	0.00111146	0.329854	20.0775	-641.114	117.353	1.57445	0.26377	0.225469	0.276458	0.234302	
14400000	1165	-30794.2	-29395.5	-1398.68	-29395.5	3.24567	0.00118504	0.275877	17.3804	-638.675	135.295	1.64401	0.25797	0.22788	0.285305	0.228845	
14800000	1165	-31507.4	-29400.4	-2106.95	-29400.4	2.7626	0.00112973	0.286615	16.8611	-641.038	108.861	1.54149	0.261938	0.236667	0.274624	0.226772	
15200000	1163	-32246.1	-29326.3	-2919.89	-29326.3	2.85593	0.00114587	0.287046	21.0423	-630.716	71.8516	1.28434	0.270343	0.230459	0.272942	0.226257	
15600000	1162	-34122.3	-29385.4	-4736.91	-29385.4	2.58798	0.00126415	0.334471	16.1246	-643.618	199.132	1.81171	0.261737	0.223333	0.287718	0.227212	
16000000	1166	-30425.9	-29430.2	-995.614	-29430.2	3.00202	0.00119921	0.276093	16.0877	-640.252	136.674	1.66873	0.263714	0.225578	0.276119	0.234588	
16400000	1157	-35744.6	-29425.5	-6319.06	-29425.5	2.89567	0.00112847	0.35781	19.1937	-636.903	123.208	1.71214	0.267345	0.234332	0.273124	0.2252	
16800000	1155	-32287.5	-29277.5	-3010	-29277.5	3.27118	0.00110671	0.294241	16.4568	-649.785	211.705	1.91672	0.26092	0.230072	0.280162	0.228847	
17200000	1161	-29876	-29332.6	-543.407	-29332.6	2.96934	0.00107391	0.264969	16.3772	-646.72	175.452	1.84231	0.259719	0.229515	0.284763	0.226003	
17600000	1157	-33469	-29252.2	-4216.77	-29252.2	2.56108	0.00112488	0.315139	19.3326	-632.471	158.392	1.86746	0.260584	0.230969	0.279657	0.228789	
18000000	1161	-29638.7	-29191.1	-447.576	-29191.1	2.8009	0.00115785	0.265128	17.8032	-628.39	194.414	2.08555	0.268119	0.231545	0.284365	0.215971	
18400000	1157	-29912.3	-29320.2	-592.062	-29320.2	2.90099	0.00110936	0.265242	13.7631	-644.595	219.26	1.98889	0.263489	0.233162	0.276772	0.226576	
18800000	1156	-34747.6	-29394.9	-5352.72	-29394.9	2.6508	0.00107306	0.33852	15.6359	-645.698	141.675	1.67775	0.262786	0.222724	0.288246	0.226243	
